epoch,loss,e_real,e_fake,time_sec
1,-0.06567268095488205,-0.19756167763194374,-0.1251023832795232,4.1580400466918945
2,-0.09742283093374829,-0.6508667586847793,-0.48359538580096045,3.9770703315734863
3,-0.047158507716863654,-0.4661347131396449,-0.3799490519734316,3.888404607772827
4,-0.028175897181553895,-0.2655467519233393,-0.22392562308976816,3.96553373336792
5,-0.03529462618969901,-0.22228023860343668,-0.17638062287208645,3.96805477142334
6,-0.04797390549508638,-0.21961285693700924,-0.15978902751623197,3.9759933948516846
7,-0.03404511199441067,-0.13716492134817812,-0.09614135509053635,4.045843124389648
8,-0.016475973209517814,-0.04495930501671378,-0.024938821056207944,3.934087038040161
9,-0.005819649221700465,-0.031942997631335325,-0.02344810153725882,4.0006468296051025
10,-0.005202143287914264,-0.019032601069464066,-0.011542325384568336,3.9942760467529297
11,-0.003221334713554486,-0.009636076622057793,-0.004668824038966451,3.9944183826446533
12,-0.005544519888475364,-0.012605662089447642,-0.005255280539046886,4.0355305671691895
13,-0.004976455374014413,-0.01168822133805343,-0.005050892248576464,3.972890853881836
14,-0.0012668445340877528,-0.00555846128656074,-0.0031764419305376533,4.022935152053833
15,-0.0008571479445171737,-0.001211946651469483,0.0004834663826798977,4.013051748275757
16,-0.003091851809755141,-0.003128358817437317,0.0007582392738482287,4.194694519042969
17,-0.0028371180490276583,-0.006764956549633034,-0.0032671486612322717,4.060877799987793
18,-0.002168116864997374,-0.005407910945630351,-0.0027002217572962128,4.013593435287476
19,-0.002372920293859098,-0.005446330443170832,-0.0026408941918161025,4.05739426612854
20,-3.526355092532846e-05,-0.0011130340700579245,-0.0007843216312616024,4.081081867218018
21,0.0014818814308328425,0.0017113958669523167,0.0004660730103983782,4.109889030456543
22,-0.00018248076450491193,-0.001764594176567571,-0.0013381071350818804,4.017557144165039
23,0.0012327482240940553,-0.0008440668488917656,-0.0018894514447987773,4.02446985244751
24,-1.2247847206349117e-05,-0.001160620070105895,-0.0009143248465735206,4.097625017166138
25,8.664917279316415e-05,-0.0005943282070125692,-0.00045025879029877655,4.073159694671631
26,-0.00020280990344851256,-0.0007700882594880843,-0.0003469652566668946,4.115488290786743
27,-0.0008687240005265055,-0.0019830250489893692,-0.0008797969636615625,4.020446538925171
28,-0.0003855423605865474,-0.0026243790783811102,-0.002018901668380686,4.034749269485474
29,-0.0012242993634995506,-0.0035692796660695483,-0.0021051533146609746,4.013348817825317
30,0.0011381418349459594,0.00028679505678240295,-0.0006950480895939955,3.9795730113983154
31,7.32162619431958e-05,-0.000692789597155223,-0.0005951618997726676,4.039353132247925
32,-0.0010573487037787387,-0.0015404395864691673,-0.000298156354273128,4.015936851501465
33,-0.00033326401019219827,-0.002984841275001811,-0.002482010325048725,4.029607772827148
34,-0.0012882290960311196,-0.0020091910406589766,-0.0005432063981695751,4.025201797485352
35,-0.0009157355515378375,-0.0024965506109279082,-0.0013952073966001356,3.9884305000305176
36,-0.0003241571708755611,-0.0005760760680057628,-9.059079457074404e-05,4.037052869796753
37,0.0003331305796204698,-0.0009526648764433556,-0.0011451860665083798,3.798081398010254
38,-0.00031023579216453917,-0.0008685258291607592,-0.00042478412898733865,3.9612245559692383
39,-0.0013325697485882745,-0.0017476556436862624,-0.000248399373620402,4.050209283828735
40,-0.0001687615775492389,-0.0010149156929232007,-0.0007125074206309957,4.072894811630249
41,-0.00030996152815723055,-0.0010574833628028458,-0.0006194565767357343,4.000920534133911
42,-0.0003381313151696177,-0.002465116612743153,-0.001997199943722334,4.027132511138916
43,-0.0010730599934440973,-0.0001554467483845994,0.0010567670214249817,4.045282363891602
44,-0.0011566104035727073,-0.0019442402726569928,-0.0006404970664271089,4.028991460800171
45,-0.0002912431336035086,-0.0014086717050685006,-0.00099374161258903,4.026682138442993
46,8.725692507226107e-05,-0.0007872231552366514,-0.0007588582473460498,4.124389171600342
47,0.0001896605474961012,-0.0008619868312962353,-0.0009389768441229366,4.009037256240845
48,-0.00048569462439424334,0.0005201990533414361,0.00111639637738293,3.9503872394561768
49,-0.0009162094405795404,-0.001040148816131012,1.588733433637508e-06,4.0037922859191895
50,-0.0012446750171325538,-0.0017374485080011277,-0.0003634311453720858,4.090036869049072
51,-0.00036712353040605004,-0.0023093333333828164,-0.0018212946570413404,3.9993624687194824
52,-0.0009455558815822114,-0.0019914705379389572,-0.0009236601641574918,4.035921812057495
53,-0.0015393443697343343,-0.0019508959037836554,-0.00028970658096896356,4.030863523483276
54,0.00014133467799225865,-0.0002935851543741084,-0.00033263992626479894,4.0048065185546875
55,-9.144045721176405e-05,-0.0025035362923517823,-0.0023082044695742253,4.063485383987427
56,-0.0003386165536899488,8.567761045035927e-05,0.0005380774301281849,4.09447979927063
57,-0.00038367698120012837,-5.286459020490563e-05,0.0004369909089968302,4.011770725250244
58,-0.0014815434632784968,-0.0018929206890725466,-0.00028642150167332487,4.074676990509033
59,-0.0013123385232215378,-0.0017868790790427822,-0.00035859105450664324,4.059122562408447
60,-0.0005320055338521596,-0.0010980078869304338,-0.00046415281276283567,4.117935419082642
